Trans_ID,Product_ID,Cust_ID,Purchase_Date,GLYear,Week,GLPeriod,Selling_Branch,TONS
1145,8Z0148,ALAB,8/24/2024,2024,36,9,0400, 20.64 
1146,8Z0148,SAPP,8/25/2024,2024,36,9,0400, 20.80 
1147,8Z0149,NEW ,8/26/2024,2024,36,9,0400, 21.22 
1148,8Z0151,DOMT,9/3/2024,2024,36,9,0400, 21.20 
1149,8Z0051,ACCE,9/4/2024,2024,37,9,0400, 1.67 
1150,8Z0088,ACCE,9/5/2024,2024,37,9,0400, 0.86 
1151,8Z0148,INTE,9/6/2024,2024,37,9,0400, 20.90 
1152,8Z0148,WOOD,9/7/2024,2024,37,9,0400, 21.22 
1153,8Z0151,DOMT,9/8/2024,2024,37,9,0400, 15.54 
1154,8Z0148,ALAB,9/9/2024,2024,38,9,0400, 20.96 
1155,8Z0148,WOOD,9/10/2024,2024,38,9,0400, 21.35 
1156,8Z0148,INTE,9/11/2024,2024,39,9,0400, 9.99 
1157,8Z0148,OVAL,9/12/2024,2024,39,9,0400, 10.96 
1158,8Z0148,PHOE,9/13/2024,2024,39,9,0400, 21.50 
1159,8Z0151,OVAL,9/14/2024,2024,39,9,0400, 9.97 
1160,8Z0051,ACCE,9/15/2024,2024,40,10,0400, 1.64 
1161,8Z0148,WOOD,9/16/2024,2024,40,10,0400, 20.69 
1162,8Z0051,ACCE,9/17/2024,2024,41,10,0400, 11.35 
1163,8Z0148,ALAB,9/18/2024,2024,41,10,0400, 20.81 
1164,8Z0148,INTE,9/19/2024,2024,41,10,0400, 10.34 
1165,8Z0148,OVAL,9/20/2024,2024,42,10,0400, 21.15 
1166,8Z0148,WOOD,9/21/2024,2024,42,10,0400, 6.32 
1167,8Z0148,ALAB,9/22/2024,2024,43,10,0400, 20.85 
1168,8Z0148,WOOD,9/23/2024,2024,43,10,0400, 14.60 
1169,8Z0149,NEW ,9/24/2024,2024,43,10,0400, 20.61 
1170,8Z0051,ACCE,9/25/2024,2024,45,11,0400, 0.86 
1171,8Z0148,ALAB,9/26/2024,2024,45,11,0400, 21.17 
1172,8Z0051,ACCE,9/27/2024,2024,46,11,0400, 1.55 
1173,8Z0148,INTE,9/28/2024,2024,46,11,0400, 10.38 
1174,8Z0148,WOOD,1/2/2024,2024,46,11,0400, 21.00 
1175,8Z0151,DOMT,1/3/2024,2024,46,11,0400, 10.28 
1176,8Z0148,SAPP,1/4/2024,2024,47,11,0400, (0.95)
1177,8Z0151,DOMT,1/5/2024,2024,48,12,0400, 21.07 
1178,8Z0148,INTE,1/6/2024,2024,49,12,0400, 11.06 
1179,8Z0148,PHOE,1/7/2024,2024,49,12,0400, 20.86 
1180,8Z0151,DOMT,1/8/2024,2024,49,12,0400, 21.54 
